SAN FRANCISCO
-------------
 
DATE
----
871219
871220
871221
871222
871223
871224
871225
871226
871227
871228
871229
871230
 
                  LOGINS                     CONNECT TIME (HOURS)
       -------------------------------    -------------------------------
 HR    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
  P     13.7     11.3              9.6      7.3      6.8              7.2
  H        9        8                9        1        1                1
10T     9920     3188            13108    37746    17532            55278
  M     1155      372             1459     2373     1286             3659
  P     11.6     11.7             11.1      6.3      7.3              6.6
  H       17       22               17       18       18               18
11T    10184     3385            13569    34090    23693            57783
  M     1075      390             1461     1999     1745             3740
  P     10.6     11.5             10.8      5.9      7.4              6.5
  H       17       22               17       19       17               19
12T     9447     3117            12564    13804     9282            23086
  M     1064      351             1415     1970      898             2868
  P     11.3     11.3             11.3     14.3      9.7             12.4
  H       17       17               17        1        1                1
 
 
           BAND4           BAND5     ROTARY
           -----           -----     ------
           72458           26474      98932
             481             330        811
          663999          280274     944273
        16370009         5196424   21566433
$F3P,
