SAN FRANCISCO
-------------
 
DATE
----
871119
871120
871121
871122
871123
871124
871125
871126
871127
871128
871129
871130
 
                  LOGINS                     CONNECT TIME (HOURS)
       -------------------------------    -------------------------------
 HR    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
 9T     6460     2586             9046    70745    20458            91203
  M      698      312              966    22108     1804            23889
  P     10.8     12.1             10.7     31.3      8.8             26.2
  H       16       21               21       23       18               23
10T     3710     1495             5205    86504    28019           114523
  M      325      169              437    14747     1959            15667
  P      8.8     11.3              8.4     17.0      7.0             13.7
  H       18       21               21        5       17                5
11T     1922      728             2650    45760    15962            61722
  M      211       74              223     3829     1457             5286
  P     11.0     10.2              8.4      8.4      9.1              8.6
  H        9        8                9        1        1                1
12T    11270     4031            15301     6659    14506            21165
  M     1323      578             1901      988     1091             1558
  P     11.7     14.3             12.4     14.8      7.5              7.4
  H       20       20               20        1       17                1
 
 
           BAND4           BAND5     ROTARY
           -----           -----     ------
           89143           36305     125448
             508             577       1085
          568978          283263     852241
        18273614         7214583   25488197
)$LR[
