rotary~ 22/782-9329        ~0000002040~1 ~016~L~                    ~Y~N~Y~A ~002435~01/01/92~ ~00
rotary~303/860-0968        ~0000003362~1 ~001~ ~QUOTRON             ~N~N~Y~A ~104735~08/26/92~1~01
rotary~304/233-7676        ~0000002771~1 ~016~L~WHEELING 2400       ~Y~Y~Y~C ~107068~09/22/92~1~01
rotary~304/292-3092        ~0000003112~1 ~037~L~MORGANTOWN 2400     ~Y~Y~Y~A ~106594~07/15/92~1~01
rotary~304/325-0517        ~0000004725~1 ~009~L~BLUEFIELD 2400      ~Y~Y~Y~A ~059322~07/17/90~1~01
rotary~304/325-6440        ~0000004725~1 ~001~ ~QUOTRON             ~N~N~Y~A ~073665~01/01/92~1~01
rotary~304/325-6708        ~0000004725~1 ~001~ ~QUOTRON             ~N~N~N~A ~074697~01/01/92~1~01
rotary~304/345-9575        ~0000003661~1 ~076~L~CHARLESTON 2400     ~Y~Y~Y~UG~106913~09/15/92~1~01
rotary~304/485-3067        ~0000005014~1 ~031~L~PARKERSBURG2400     ~Y~Y~Y~UG~106963~09/17/92~1~01
rotary~304/529-2091        ~0000010243~1 ~040~L~HUNTINGTON 2400     ~Y~Y~Y~UG~105640~09/02/92~1~01
rotary~304/624-1451        ~0000011471~1 ~009~L~CLARKSBURG 2400     ~Y~Y~Y~A ~061566~01/01/92~1~01
rotary~305/294-1573        ~0000006273~1 ~010~L~KEY WEST 2400       ~Y~Y~Y~A ~058788~07/17/90~1~01
rotary~305/462-3925        ~0000011346~1 ~001~ ~BOURNS              ~N~N~N~A ~064155~01/01/92~1~01
rotary~305/463-0882        ~0000003165~1 ~040~M~FT LAUDERDALE       ~Y~N~N~A ~037224~01/25/84~1~01
rotary~305/467-1870        ~0000011346~1 ~033~M~FT LAUDRDLE2400     ~Y~Y~Y~A ~064155~01/01/92~1~01
rotary~305/470-2351        ~0000013230~1 ~001~ ~PIPER AIRCRAFT      ~N~Y~N~C ~108396~10/15/92~1~01
rotary~305/592-2357        ~0000007724~1 ~016~H~MIAMI TYMDIAL       ~1~N~Y~A ~053620~01/06/90~3~01
rotary~305/599-2900        ~0000013230~1 ~088~H~MIAMI 2400          ~Y~Y~Y~A ~040362~04/28/86~1~01
rotary~305/599-2900        ~0000006574~1 ~088~H~MIAMI 2400          ~Y~Y~Y~A ~040362~04/28/86~1~01
rotary~305/599-9996        ~0000007720~1 ~001~H~MIAMI TYMX25        ~1~N~Y~A ~043879~10/06/88~4~01
rotary~305/599-9997        ~0000007720~1 ~001~H~MIAMI TYMX25        ~1~N~Y~A ~043879~10/06/88~4~01
rotary~305/779-3445        ~0000006770~1 ~010~H~FT. LAUDERDALE      ~1~N~Y~A ~108795~03/18/92~3~01
rotary~307/234-4211        ~0000002050~1 ~018~L~CASPER 2400         ~Y~Y~Y~A ~048668~12/12/84~1~01
rotary~307/265-6527        ~0000002050~1 ~002~M~QUOTRON             ~N~N~N~A ~075531~01/01/92~1~01
rotary~307/473-7925        ~0000002050~1 ~001~ ~QUOTRON             ~N~N~N~A ~075531~01/01/92~1~01
rotary~307/638-0403        ~0000002163~1 ~031~L~CHEYENNE 2400       ~Y~Y~Y~UG~107451~10/02/92~1~01
rotary~307/742-9441        ~0000006221~1 ~019~L~LARAMIE 2400        ~Y~Y~Y~UG~104722~08/14/92~1~01
rotary~308/382-3176        ~0000010730~1 ~040~L~GRND ISLAND2400     ~Y~Y~Y~UG~104863~08/21/92~1~01
rotary~309/637-5961        ~0000012307~1 ~065~L~PEORIA 2400         ~Y~Y~Y~A ~038023~11/09/83~1~01
rotary~309/637-5961        ~0000005307~1 ~065~L~PEORIA 2400         ~Y~Y~Y~A ~038023~11/09/83~1~01
rotary~309/788-3713        ~0000007306~1 ~053~M~ROCK ISLAND2400     ~Y~Y~Y~UG~107331~09/29/92~1~01
rotary~309/827-2748        ~0000005437~1 ~016~L~BLOOMINGTON2400     ~Y~Y~Y~C ~105142~09/09/92~1~01
rotary~310/435-0900        ~0000003406~1 ~030~M~LONG BEACH          ~Y~N~N~A ~000000~09/01/83~1~01
rotary~310/436-6033        ~0000013614~1 ~041~M~LONG BEACH 2400     ~Y~Y~Y~UG~105579~09/01/92~1~01
rotary~310/436-6033        ~0000007404~1 ~041~M~LONG BEACH 2400     ~Y~Y~Y~UG~105579~09/01/92~1~01
rotary~310/643-2907        ~0000004755~1 ~030~M~EL SEGUNDO          ~Y~N~N~A ~000000~02/01/86~1~01
rotary~310/643-4228        ~0000010753~1 ~054~M~EL SEGUNDO 2400     ~Y~Y~Y~A ~038433~01/01/92~1~01
rotary~310/643-4228        ~0000010363~1 ~054~M~EL SEGUNDO 2400     ~Y~Y~Y~A ~038433~01/01/92~1~01
rotary~310/945-1984        ~0000013363~1 ~013~M~WHITTIER 2400       ~Y~Y~Y~A ~066286~01/01/92~1~01
rotary~312/427-1453        ~0000011460~1 ~004~H~CHICAGO TYMX25      ~1~N~Y~A ~065053~08/19/91~4~01
rotary~312/427-1506        ~0000011460~1 ~002~H~CHICAGO TYMX25      ~1~N~Y~A ~065053~08/19/91~4~01
rotary~312/427-3963        ~0000004203~1 ~001~ ~AMER SOLENOID       ~N~N~ ~A ~048220~01/01/92~1~01
rotary~312/427-5915        ~0000006321~1 ~001~ ~BECHTEL             ~N~N~N~A ~057391~01/01/92~1~01
rotary~312/427-7579        ~0000006324~1 ~032~H~CHICAGO TYMDIAL     ~1~N~Y~A ~039313~01/27/88~3~01
rotary~312/435-1149        ~0000004747~  ~001~ ~                    ~ ~ ~ ~P ~107189~09/28/92~1~01
rotary~312/922-4601        ~0000003152~1 ~093~H~CHICAGO             ~Y~N~N~A ~071743~05/02/83~1~01
rotary~312/922-6571        ~0000006321~1 ~091~H~CHICAGO 2400        ~Y~Y~Y~A ~065454~10/09/85~1~01
rotary~312/922-6571        ~0000004747~1 ~091~H~CHICAGO 2400        ~Y~Y~Y~A ~065454~10/09/85~1~01
rotary~312/922-6571        ~0000003650~1 ~091~H~CHICAGO 2400        ~Y~Y~Y~A ~065454~10/09/85~1~01
rotary~312/939-3512        ~0000004747~1 ~001~ ~QUOTRON             ~N~N~Y~A ~070356~01/01/92~1~01
rotary~313/333-0480        ~0000005366~1 ~001~ ~QUOTRON             ~N~N~Y~A ~071790~01/01/92~1~01
rotary~313/338-8384        ~0000005366~1 ~021~L~PONTIAC 2400        ~Y~Y~Y~A ~046619~11/12/86~1~01
rotary~313/424-8024        ~0000003654~1 ~047~M~SOUTHFIELD 2400     ~Y~Y~Y~A ~000000~01/12/84~1~01
rotary~313/451-2400        ~0000004542~1 ~023~M~PLYMOUTH 2400       ~Y~Y~Y~A ~052353~11/01/85~1~01
rotary~313/557-2106        ~0000011010~1 ~014~H~SOUTHFIELD TYMD     ~1~N~Y~A ~108798~08/15/91~3~01
rotary~313/742-3615        ~0000013641~1 ~001~ ~QUOTRON             ~N~N~N~M ~107333~09/30/92~1~01
rotary~313/743-8350        ~0000013641~1 ~080~L~BURTON 2400         ~Y~Y~Y~UG~107333~09/30/92~1~01
rotary~313/743-8350        ~0000003344~1 ~080~L~BURTON 2400         ~Y~Y~Y~UG~107333~09/30/92~1~01
rotary~313/774-1000        ~0000006014~1 ~022~L~ROSEVILLE 2400      ~Y~Y~Y~A ~049843~01/01/92~1~01
rotary~313/962-2870        ~0000004501~1 ~051~H~DETROIT             ~Y~N~N~A ~000000~03/26/84~1~01
rotary~313/963-3460        ~0000004455~1 ~055~H~DETROIT 2400        ~Y~Y~Y~A ~108475~10/08/92~1~01
rotary~313/963-3460        ~0000003530~1 ~055~H~DETROIT 2400        ~Y~Y~Y~A ~108475~10/08/92~1~01
rotary~313/963-4473        ~0000004455~1 ~001~ ~QUOTRON             ~N~N~Y~C ~107210~09/28/92~1~01
rotary~313/964-1225        ~0000007005~1 ~022~H~DETROIT TYMDIAL     ~1~N~Y~A ~047596~03/25/89~3~01
rotary~313/965-4982        ~0000004355~1 ~001~H~DETROIT TYMX25      ~1~N~Y~A ~070411~09/09/91~4~01
rotary~313/965-4983        ~0000004355~1 ~001~H~DETROIT TYMX25      ~1~N~Y~A ~058316~01/01/92~4~01
rotary~313/973-0166        ~0000010307~1 ~015~H~ANN ARBOR TYMDI     ~Y~N~Y~UG~108778~10/16/92~3~01
rotary~313/973-7935        ~0000010103~1 ~032~M~ANN ARBOR 2400      ~Y~Y~Y~A ~066338~01/01/92~1~01
rotary~313/982-0301        ~0000007467~1 ~032~L~PORT HURON 2400     ~Y~Y~Y~UG~108408~10/06/92~1~01
rotary~314/335-1518        ~0000010602~1 ~030~M~CAPE GIRARD2400     ~Y~Y~Y~A ~108475~10/20/92~1~01
rotary~314/335-4926        ~0000000000~  ~001~ ~QUOTRON             ~ ~ ~ ~A ~000000~09/09/92~1~01
rotary~314/364-2084        ~0000007126~1 ~016~L~ROLLA 2400          ~Y~Y~Y~A ~000000~10/01/85~1~01
rotary~314/634-8296        ~0000005502~1 ~025~L~JEFFERSNCTY2400     ~Y~Y~Y~UG~105797~09/03/92~1~01
rotary~314/651-3371        ~0000010602~1 ~001~ ~QUOTRON             ~N~N~N~C ~102564~08/06/92~1~01
rotary~314/697-7162        ~0000003014~1 ~001~ ~RAPS POLLER         ~N~N~N~A ~068543~01/01/92~ ~00
rotary~314/731-0703        ~0000005717~1 ~014~H~HAZELWOOD TYMDI     ~1~N~Y~A ~108795~03/02/90~3~01
rotary~314/731-1735        ~0000012063~1 ~001~ ~QUOTRON             ~N~N~N~A ~072347~01/01/92~1~01
rotary~314/731-1944        ~0000012063~1 ~001~H~STATIONERS          ~Y~N~N~A ~065098~01/01/92~1~01
rotary~314/731-2909        ~0000004764~1 ~001~ ~CYBERTEK            ~N~N~ ~A ~073083~11/11/86~1~01
rotary~314/731-2944        ~0000012063~1 ~001~H~STATIONERS          ~N~N~N~A ~065098~02/12/90~1~01
rotary~314/731-3078        ~0000012063~1 ~001~ ~STATIONERS          ~N~N~N~A ~065098~02/12/90~1~01
rotary~314/731-4211        ~0000012063~1 ~001~ ~STATIONERS          ~N~N~N~A ~065098~02/12/90~1~01
rotary~314/731-4689        ~0000012063~  ~001~ ~STATIONERS          ~N~N~N~A ~065098~02/12/90~1~01
rotary~314/731-5443        ~0000012063~1 ~001~ ~MCI TELCOM          ~N~N~N~A ~065098~01/01/92~1~01
rotary~314/731-7841        ~0000005726~1 ~002~H~HAZELWOOD TYMX2     ~1~N~Y~A ~052254~12/15/89~4~01
rotary~314/731-8002        ~0000004764~1 ~053~H~HAZELWOOD           ~Y~N~ ~A ~000000~09/30/84~1~01
rotary~314/731-8283        ~0000012063~1 ~059~H~HAZELWOOD 2400      ~Y~Y~Y~A ~065098~10/01/85~1~01
rotary~314/731-8283        ~0000011646~1 ~059~H~HAZELWOOD 2400      ~Y~Y~Y~A ~065098~10/01/85~1~01
rotary~314/875-5570        ~0000012026~1 ~032~L~COLUMBIA 2400       ~Y~Y~Y~A ~057188~01/01/92~1~01
rotary~315/433-1593        ~0000011276~1 ~032~M~E.SYRACUSE 2400     ~Y~Y~Y~A ~040217~01/01/92~1~01
rotary~315/437-7111        ~0000004672~1 ~031~M~EAST SYRACUSE       ~Y~N~N~A ~000000~10/01/85~1~01
rotary~315/788-1816        ~0000012516~1 ~009~L~WATERTOWN 2400      ~Y~Y~Y~A ~059564~01/01/92~1~01
rotary~315/797-7001        ~0000006342~1 ~032~L~UTICA 2400          ~Y~Y~Y~A ~000000~07/01/85~1~01
rotary~316/536-0657        ~0000003120~  ~008~M~EL SEGUNDO 9600     ~Y~N~Y~P ~104485~08/10/92~3~01
rotary~316/663-2192        ~0000007102~1 ~009~L~HUTCHINSON 2400     ~Y~Y~Y~A ~061338~01/01/92~1~01
rotary~316/681-0832        ~0000005441~1 ~020~M~WICHITA             ~Y~N~N~A ~000000~02/12/85~1~01
rotary~316/681-2536        ~0000013566~1 ~001~ ~QUOTRON             ~N~N~Y~A ~069618~01/01/92~1~01
rotary~316/681-2719        ~0000013566~1 ~105~M~WICHITA 2400        ~Y~Y~Y~UG~106866~09/14/92~1~01
rotary~316/681-2719        ~0000005443~1 ~105~M~WICHITA 2400        ~Y~Y~Y~UG~106866~09/14/92~1~01
rotary~316/685-7443        ~0000013566~1 ~001~ ~QUOTRON             ~N~N~Y~A ~072073~01/01/92~1~01
rotary~316/685-7509        ~0000013566~1 ~001~ ~QUOTRON             ~N~N~Y~A ~072074~01/01/92~1~01
rotary~317/281-9021        ~0000010560~1 ~059~L~MUNCIE 2400         ~Y~Y~Y~UG~107317~09/28/92~1~01
rotary~317/288-0589        ~0000010560~1 ~001~ ~QUOTRON             ~N~N~N~A ~071829~01/01/92~1~01
rotary~317/423-4616        ~0000007455~1 ~030~L~LAFAYETTE 2400      ~Y~Y~Y~UG~105332~08/27/92~1~01
rotary~317/453-7818        ~0000007650~1 ~031~L~KOKOMO 2400         ~Y~Y~Y~UG~106779~09/11/92~1~01
rotary~317/631-1002        ~0000002066~1 ~036~H~INDIANAPOLIS        ~Y~N~N~A ~000000~11/09/84~1~01
rotary~317/631-4939        ~0000013214~1 ~001~ ~QUOTRON             ~N~N~Y~A ~066728~01/01/92~1~01
rotary~317/631-8022        ~0000002066~1 ~001~M~METRIDATA INC.      ~N~N~N~A ~008447~11/09/84~1~01
rotary~317/632-6408        ~0000013214~1 ~043~H~INDIANAPOLIS 24     ~Y~Y~Y~A ~063951~10/01/85~1~01
rotary~317/662-1928        ~0000006551~1 ~016~L~MARION 2400         ~Y~Y~Y~A ~061278~01/01/92~1~01
rotary~317/662-1928        ~0000007733~1 ~016~L~MARION 2400         ~Y~Y~Y~A ~061278~01/01/92~1~01
rotary~317/687-0215        ~0000005672~1 ~002~H~INDIANAPOLIS TY     ~1~N~Y~A ~063474~06/21/91~4~01
rotary~317/687-0305        ~0000005672~1 ~010~H~INDIANAPOLIS TY     ~1~N~Y~A ~052695~01/25/90~3~01
rotary~317/687-9635        ~0000005672~1 ~002~H~INDIANAPOLIS TY     ~1~N~Y~A ~063474~06/21/91~4~01
rotary~317/742-4489        ~0000007455~1 ~001~ ~QUOTRON             ~N~N~Y~A ~072244~01/01/92~1~01
rotary~318/234-8255        ~0000003635~1 ~048~L~LAFAYETTE 2400      ~Y~Y~Y~UG~108756~10/15/92~1~01
rotary~318/388-8810        ~0000006552~1 ~016~L~MONROE 2400         ~Y~Y~Y~A ~108475~10/08/92~1~01
rotary~318/388-8810        ~0000007646~1 ~016~L~MONROE 2400         ~Y~Y~Y~A ~108475~10/08/92~1~01
rotary~318/445-1800        ~0000013156~1 ~027~L~ALEXANDRIA 2400     ~Y~Y~Y~UG~107456~10/03/92~1~01
rotary~318/477-0105        ~0000003227~1 ~044~L~LAKECHARLES2400     ~Y~Y~Y~UG~108502~10/08/92~1~01
rotary~318/688-5840        ~0000011317~1 ~049~L~SHREVEPORT 2400     ~Y~Y~Y~M ~108472~10/07/92~1~01
rotary~318/688-5840        ~0000013577~1 ~049~L~SHREVEPORT 2400     ~Y~Y~Y~M ~108472~10/07/92~1~01
rotary~318/688-5840        ~0000003731~1 ~049~L~SHREVEPORT 2400     ~Y~Y~Y~M ~108472~10/07/92~1~01
rotary~319/236-9020        ~0000004114~1 ~016~L~WATERLOO 2400       ~Y~Y~Y~A ~000000~10/02/84~1~01
rotary~319/354-3633        ~0000010320~1 ~018~L~IOWA CITY 2400      ~Y~Y~Y~A ~018029~05/12/86~1~01
rotary~319/362-5790        ~0000006407~1 ~001~ ~REP ASSOCIATES      ~N~N~N~A ~053212~01/01/92~1~01
rotary~319/363-7514        ~0000014365~1 ~030~L~CEDAR RAPID2400     ~Y~Y~Y~M ~108758~10/16/92~1~01
rotary~319/363-7514        ~0000006407~1 ~030~L~CEDAR RAPID2400     ~Y~Y~Y~M ~108758~10/16/92~1~01
rotary~319/582-3599        ~0000007456~1 ~022~L~DUBUQUE 2400        ~Y~Y~Y~UG~107170~09/24/92~1~01
rotary~334/772-8080        ~0000012650~1 ~064~M~PARIS               ~Y~N~Y~A ~067371~01/01/92~1~01
rotary~334/772-8080        ~0000002472~1 ~064~M~PARIS               ~Y~N~Y~A ~067371~01/01/92~1~01
rotary~336/130-0291        ~0000013334~1 ~016~M~TOULOUSE            ~Y~N~Y~A ~068568~01/01/92~1~01
rotary~339/125-9933        ~0000005417~1 ~016~M~MARSEILLE           ~Y~N~Y~A ~068569~01/01/92~1~01
rotary~343/415-5082        ~0000006670~1 ~008~M~BT-BARCELONA        ~Y~N~Y~A ~062614~01/01/92~ ~00
rotary~344/427-6492        ~0000006726~1 ~008~M~BT-BILBAO           ~Y~N~Y~A ~062614~01/02/91~ ~00
rotary~396/855-0340        ~0000013451~1 ~008~M~ROME                ~Y~N~Y~A ~067060~01/01/92~ ~00
rotary~401/273-0200        ~0000013237~1 ~153~H~PROVIDENCE 2400     ~Y~Y~Y~UG~106829~09/14/92~1~01
rotary~401/273-0200        ~0000006522~1 ~153~H~PROVIDENCE 2400     ~Y~Y~Y~UG~106829~09/14/92~1~01
rotary~401/421-9277        ~0000013237~1 ~001~ ~QUOTRON             ~N~N~N~A ~074423~01/01/92~1~01
rotary~401/751-8030        ~0000002657~1 ~006~H~PROVIDENCE TYMD     ~1~N~Y~A ~108798~02/18/92~3~01
rotary~401/766-2000        ~0000004557~1 ~032~L~WOONSOCKET 2400     ~Y~Y~Y~A ~068678~08/26/91~1~01
rotary~401/849-1660        ~0000007214~1 ~032~L~MIDDLETOWN 2400     ~Y~Y~Y~UG~107442~10/05/92~1~01
rotary~402/391-4179        ~0000013607~  ~002~ ~CINCINNATI BELL     ~N~N~ ~A ~069805~12/29/86~1~01
rotary~402/393-0903        ~0000006106~1 ~032~M~OMAHA               ~Y~N~N~A ~014156~02/01/86~1~01
rotary~402/393-1305        ~0000013607~1 ~103~M~OMAHA 2400BPS       ~Y~Y~Y~UG~107046~09/21/92~1~01
rotary~402/393-1305        ~0000003254~1 ~103~M~OMAHA 2400BPS       ~Y~Y~Y~UG~107046~09/21/92~1~01
rotary~402/464-6235        ~0000013606~1 ~110~L~LINCOLN 2400        ~Y~Y~Y~UG~107111~10/09/92~1~01
rotary~402/464-6235        ~0000011012~1 ~110~L~LINCOLN 2400        ~Y~Y~Y~UG~107111~10/09/92~1~01
rotary~403/232-6653        ~0000007540~1 ~022~H~CALGARY             ~Y~N~N~A ~015635~01/01/92~1~01
rotary~403/233-0210        ~0000003776~1 ~001~M~MDC-PSC/TELCHEK     ~N~N~ ~A ~043355~06/27/88~ ~00
rotary~403/233-0214        ~0000003776~1 ~001~M~MDC-PSC/TELCHEK     ~N~N~ ~A ~043355~06/27/88~ ~00
rotary~403/264-5472        ~0000011114~1 ~004~H~CALGARY TYMDIAL     ~1~N~Y~A ~108795~04/03/91~3~01
rotary~403/484-4404        ~0000013213~1 ~016~L~EDMONTON 2400       ~Y~N~Y~A ~065469~01/01/92~1~01
rotary~404/234-0102        ~0000007301~1 ~027~L~ROME 2400           ~Y~Y~Y~UG~107446~10/03/92~1~01
rotary~404/327-0597        ~0000003311~1 ~041~L~COLUMBUS 2400       ~Y~Y~Y~UG~104992~08/20/92~1~01
rotary~404/369-0165        ~0000005163~1 ~047~L~ATHENS 2400         ~Y~Y~Y~UG~107080~09/22/92~1~01
rotary~404/451-1546        ~0000010254~1 ~018~H~DORAVILLE TYMDI     ~1~N~Y~A ~039151~01/26/88~3~01
rotary~404/451-2208        ~0000011030~1 ~082~H~DORAVILLE           ~Y~N~N~A ~071674~03/20/86~1~01
rotary~404/451-2208        ~0000010705~1 ~082~H~DORAVILLE           ~Y~N~N~A ~071674~03/20/86~1~01
rotary~404/451-3362        ~0000010217~1 ~103~H~DORAVILLE 2400      ~Y~Y~Y~A ~063751~07/15/86~1~01
rotary~404/451-3362        ~0000007520~1 ~103~H~DORAVILLE 2400      ~Y~Y~Y~A ~063751~07/15/86~1~01
rotary~404/451-3362        ~0000004176~1 ~103~H~DORAVILLE 2400      ~Y~Y~Y~A ~063751~07/15/86~1~01
rotary~404/455-7540        ~0000010211~1 ~004~H~DORAVILLE TYMX2     ~1~N~Y~A ~032019~01/01/92~4~01
rotary~404/455-9285        ~0000010211~1 ~004~H~DORAVILLE TYMX2     ~1~N~Y~A ~043880~01/05/89~4~01
rotary~404/457-9617        ~0000010217~1 ~001~ ~QUOTRON             ~N~N~Y~A ~074977~01/01/92~1~01
rotary~404/458-1384        ~0000003234~1 ~001~ ~TAMPELLA PAPER      ~N~N~ ~C ~107392~10/05/92~1~01
rotary~404/546-8186        ~0000005163~1 ~001~ ~QUOTRON             ~N~N~Y~A ~069727~01/01/92~1~01
rotary~404/855-0442        ~0000011322~1 ~102~L~MARTINEZ 2400       ~Y~Y~Y~UG~105369~08/28/92~1~01
rotary~404/855-0442        ~0000003321~1 ~102~L~MARTINEZ 2400       ~Y~Y~Y~UG~105369~08/28/92~1~01
rotary~405/226-1260        ~0000007336~1 ~014~L~ARDMORE 2400        ~Y~Y~Y~A ~074959~01/01/86~1~01
rotary~405/242-0113        ~0000003547~1 ~027~L~ENID 2400           ~Y~Y~Y~UG~105564~09/01/92~1~01
rotary~405/248-6058        ~0000010727~1 ~001~ ~QUOTRON             ~N~N~Y~C ~104311~08/06/92~1~01
rotary~405/353-6987        ~0000010727~1 ~074~L~LAWTON 2400         ~Y~Y~Y~UG~105541~09/10/92~1~01
rotary~405/495-0210        ~0000011234~1 ~001~ ~STATIONERS          ~N~N~ ~A ~059233~09/21/88~1~01
rotary~405/495-0381        ~0000011234~1 ~001~ ~STATIONERS          ~N~N~ ~A ~059233~01/01/92~1~01
rotary~405/495-5238        ~0000011234~1 ~001~ ~STATIONERS          ~N~N~ ~A ~059233~09/21/88~1~01
rotary~405/495-6056        ~0000011234~1 ~001~ ~STATIONERS          ~N~N~ ~A ~059233~09/21/88~1~01
rotary~405/495-6057        ~0000011234~1 ~001~ ~STATIONERS          ~N~N~ ~A ~059233~09/21/88~1~01
rotary~405/495-6060        ~0000011234~1 ~001~ ~STATIONERS          ~N~N~ ~A ~059233~09/21/88~1~01
rotary~405/495-6062        ~0000011234~1 ~001~ ~STATIONERS          ~N~N~ ~A ~059233~09/21/88~1~01
rotary~405/495-6063        ~0000011234~1 ~001~ ~STATIONERS          ~N~N~ ~A ~059233~09/21/88~1~01
rotary~405/495-8201        ~0000006501~1 ~031~H~OKLAHOMA CITY       ~Y~N~N~A ~000000~10/01/85~1~01
rotary~405/495-9201        ~0000006507~1 ~093~H~OK CITY 2400        ~Y~Y~Y~A ~069606~10/01/85~1~01
rotary~405/495-9201        ~0000004403~1 ~093~H~OK CITY 2400        ~Y~Y~Y~A ~069606~10/01/85~1~01
rotary~405/787-0684        ~0000006506~1 ~016~H~OKLAHOMA CITY T     ~1~N~Y~A ~053168~02/28/90~3~01
rotary~406/252-4880        ~0000014274~1 ~030~L~BILLINGS 2400       ~Y~Y~Y~M ~108366~10/05/92~1~01
rotary~406/252-4880        ~0000003726~1 ~030~L~BILLINGS 2400       ~Y~Y~Y~M ~108366~10/05/92~1~01
rotary~406/443-0112        ~0000013176~1 ~018~L~HELENA 2400         ~Y~Y~Y~A ~108475~10/08/92~1~01
rotary~406/443-0112        ~0000005017~1 ~018~L~HELENA 2400         ~Y~Y~Y~A ~108475~10/08/92~1~01
rotary~406/494-5011        ~0000007447~1 ~001~ ~QUOTRON             ~N~N~Y~A ~066437~01/01/92~1~01
rotary~406/494-6682        ~0000007447~1 ~011~L~BUTTE 2400          ~Y~Y~Y~A ~016653~01/01/92~1~01
rotary~406/542-0472        ~0000013364~1 ~030~L~MISSOULA 2400       ~Y~Y~Y~UG~105805~09/03/92~1~01
rotary~406/585-9719        ~0000010570~1 ~032~L~BOZEMAN 2400        ~Y~Y~Y~UG~108427~10/06/92~1~01
rotary~406/727-9510        ~0000012626~1 ~021~L~GREAT FALLS2400     ~Y~Y~Y~UG~108908~10/20/92~1~01
rotary~406/728-7956        ~0000013364~  ~001~ ~                    ~N~ ~ ~A ~101345~08/18/92~1~01
rotary~407/265-3736        ~0000007150~1 ~001~ ~QUOTRON             ~N~N~Y~A ~074429~01/01/92~1~01
rotary~407/272-7900        ~0000007150~1 ~025~L~DLRAY BEACH2400     ~Y~Y~Y~A ~000000~02/01/86~1~01
rotary~407/274-6291        ~0000007150~1 ~001~ ~QUOTRON             ~N~N~Y~A ~075116~01/01/92~1~01
rotary~407/278-6258        ~0000007150~1 ~001~ ~QUOTRON             ~N~N~Y~A ~074050~01/01/92~1~01
rotary~407/337-1992        ~0000006346~1 ~032~L~PT ST LUCIE2400     ~Y~Y~Y~A ~043708~07/11/88~1~01
rotary~407/466-5661        ~0000005304~1 ~016~L~FT PIERCE 2400      ~Y~Y~Y~A ~000000~10/01/85~1~01
rotary~407/471-9310        ~0000003606~1 ~029~M~W PLM BEACH2400     ~Y~Y~Y~A ~000000~07/02/84~1~01
rotary~407/569-8207        ~0000007712~1 ~027~L~VERO BEACH 2400     ~Y~Y~Y~A ~016062~01/01/92~1~01
rotary~407/639-3022        ~0000004135~1 ~086~L~COCOA 2400          ~Y~Y~Y~A ~036141~01/01/92~1~01
rotary~407/639-3022        ~0000003213~1 ~086~L~COCOA 2400          ~Y~Y~Y~A ~036141~01/01/92~1~01
rotary~407/770-0844        ~0000007712~1 ~001~ ~QUOTRON             ~N~N~Y~A ~073487~01/01/92~1~01
rotary~407/839-0555        ~0000010355~1 ~010~H~ORLANDO TYMDIAL     ~Y~N~Y~UG~108833~10/19/92~3~01
rotary~407/841-0020        ~0000004000~1 ~040~L~ORLANDO             ~Y~N~N~A ~015745~09/18/86~1~01
rotary~407/841-0217        ~0000013253~1 ~034~M~ORLANDO 2400        ~Y~Y~Y~A ~063950~01/01/92~1~01
rotary~407/841-0833        ~0000013253~1 ~001~ ~QUOTRON             ~N~N~Y~A ~070358~01/01/92~1~01
rotary~407/849-1708        ~0000013253~1 ~001~ ~QUOTRON             ~N~N~Y~A ~069724~01/01/92~1~01
rotary~407/933-8425        ~0000006376~1 ~032~L~KISSIMMEE 2400      ~Y~Y~Y~A ~043706~01/01/92~1~01
rotary~408/321-8610        ~0000002602~  ~016~H~SAN JOSE            ~Y~N~N~P ~104461~08/10/92~1~01
rotary~408/356-1818        ~0000012642~1 ~010~L~LOS GATOS 2400      ~Y~Y~Y~A ~060801~01/01/92~1~01
rotary~408/375-2644        ~0000011224~1 ~076~L~MONTEREY 2400       ~Y~Y~Y~A ~068798~06/24/86~1~01
rotary~408/375-2644        ~0000010334~1 ~076~L~MONTEREY 2400       ~Y~Y~Y~A ~068798~06/24/86~1~01
rotary~408/432-0804        ~0000003725~1 ~018~H~SAN JOSE TYMDIA     ~1~N~Y~A ~044269~09/29/88~3~01
rotary~408/432-3430        ~0000007205~1 ~046~H~SAN JOSE            ~Y~N~N~A ~035398~01/01/92~1~01
rotary~408/432-8618        ~0000007100~1 ~061~H~SAN JOSE 2400       ~Y~Y~Y~A ~063875~06/11/87~1~01
rotary~408/432-8618        ~0000004661~1 ~061~H~SAN JOSE 2400       ~Y~Y~Y~A ~063875~06/11/87~1~01
rotary~408/433-9203        ~0000004067~1 ~001~ ~RATIONAL            ~N~N~ ~A ~035398~01/01/92~1~01
rotary~408/475-0981        ~0000006317~1 ~069~M~SANTA CRUZ 2400     ~Y~Y~Y~A ~000000~01/12/84~1~01
rotary~408/475-0981        ~0000003505~1 ~069~M~SANTA CRUZ 2400     ~Y~Y~Y~A ~000000~01/12/84~1~01
rotary~408/754-2206        ~0000003412~1 ~047~L~SALINAS 2400        ~Y~Y~Y~UG~107296~09/28/92~1~01
rotary~408/943-0932        ~0000010315~1 ~001~ ~QUOTRON             ~N~N~Y~A ~068648~01/01/92~1~01
